source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,percent,SYNTHETIC,23.33,6.86,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Sikkim,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,1,1,0,0,equal,c,,,,percent,SYNTHETIC,24.42,27.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Sikkim,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,43.18,28.32,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Sikkim,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,32.9,16.65,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Sikkim,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,27.82,17.38,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Sikkim,ST,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,43.53,30.77,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Sikkim,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,41.36,28.52,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Sikkim,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,49.84,31.46,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Sikkim,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,3,3,0,0,equal,c,,,,percent,SYNTHETIC,29.24,30.74,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,27.16,47.8,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,11.16,30.47,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,47.73,29.43,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,27.91,10.55,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Tamil Nadu,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,47.71,26.95,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Tamil Nadu,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,33.53,15.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,All,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,4,0,0,4,equal,c,,,,percent,SYNTHETIC,9.89,14.14,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,50.83,34.79,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,42.26,27.84,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,5.81,24.76,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,11.88,28.72,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,26.95,40.1,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,27.55,49.66,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/area/MediumvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,SC,area,MediumvsLarge,landholding,medium operated area,large operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,11.08,11.82,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,41.44,18.48,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,15.51,5.25,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Tamil Nadu,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,32.2,20.93,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Tamil Nadu,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,20.1,9.95,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,44.09,29.11,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,42.25,24.45,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Tamil Nadu,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,1,0,1,0,equal,c,,,,percent,SYNTHETIC,20.55,21.72,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,43.05,32.58,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,24.83,6.12,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,40.78,18.6,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,33.5,8.6,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,3,0,3,0,equal,c,,,,percent,SYNTHETIC,33.95,34.93,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,37.59,18.91,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,32.52,20.71,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,47.74,22.81,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Tamil Nadu,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,14.69,16.6,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,34.1,45.05,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Tamil Nadu,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,23.6,28.44,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,11.09,24.79,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,14.42,36.53,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Small/number/STvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,b,,,,percent,SYNTHETIC,30.6,54.7,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Telangana,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,23.46,24.55,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Telangana,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,7.31,20.4,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Telangana,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,27.98,32.02,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Telangana,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,17.58,41.32,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/All/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Telangana,All,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,2,2,0,0,equal,c,,,,percent,SYNTHETIC,24.52,28.66,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Telangana,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,0,0,4,equal,c,,,,percent,SYNTHETIC,25.78,30.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Telangana,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,38.67,21.39,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Telangana,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,33.79,14.93,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Telangana,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,37.14,18.6,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Telangana,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,48.07,28.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Telangana,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,25.23,8.2,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Telangana,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,44.02,30.15,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Telangana,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,29.07,10.2,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/Large/area/SCvsST,AgCensus2015-16,T2-4,Telangana,Large,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,23.79,28.22,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/Marginal/area/SCvsST,AgCensus2015-16,T2-4,Telangana,Marginal,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,7,7,0,0,equal,c,,,,percent,SYNTHETIC,13.07,16.13,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Telangana,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,7.16,31.78,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/Marginal/number/SCvsST,AgCensus2015-16,T2-4,Telangana,Marginal,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,30.6,31.5,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Telangana,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,22.2,40.19,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Telangana,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,29.38,51.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Telangana,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,34.13,53.66,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Telangana,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,21.96,5.84,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Telangana,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,40.83,22.89,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Telangana,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,49.96,26.18,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Telangana,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,47.62,34.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/SC/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Telangana,SC,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,2,0,0,2,equal,c,,,,percent,SYNTHETIC,9.87,12.09,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Telangana,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,37.55,27.26,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/SC/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Telangana,SC,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,54.78,30.09,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/ST/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Telangana,ST,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,1,0,0,1,equal,c,,,,percent,SYNTHETIC,26.91,30.68,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Telangana,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,39.23,14.64,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Telangana,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,32.0,15.58,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Telangana,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,24.15,10.21,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Telangana,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,24.14,6.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Telangana,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,44.54,27.96,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Telangana,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,50.97,26.87,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Telangana,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,50.01,31.25,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Telangana,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,34.86,51.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Telangana,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,24.19,37.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Telangana/Small/area/SCvsST,AgCensus2015-16,T2-4,Telangana,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,7,0,0,7,equal,c,,,,percent,SYNTHETIC,20.75,21.64,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
