source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type,recomputed_condition,recomputed_gold,agrees_with_frozen
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,percent,SYNTHETIC,41.11,22.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Punjab/All/number/MediumvsLarge,AgCensus2015-16,T2-4,Punjab,All,number,MediumvsLarge,landholding,medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,58.71,32.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Punjab/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Punjab,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,76.53,47.18,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Punjab/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Punjab,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,61.06,41.5,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Punjab/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Punjab,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,b,,,,percent,SYNTHETIC,54.42,65.53,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Punjab/Large/number/SCvsOthers,AgCensus2015-16,T2-4,Punjab,Large,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,20.07,46.46,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Punjab/Large/number/STvsOthers,AgCensus2015-16,T2-4,Punjab,Large,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,25.1,46.38,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Punjab/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Punjab,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,28.71,42.66,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Punjab/Marginal/number/SCvsST,AgCensus2015-16,T2-4,Punjab,Marginal,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,a,,,,percent,SYNTHETIC,57.51,39.81,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Punjab/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Punjab,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,38.2,53.41,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Punjab/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Punjab,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,21.46,41.37,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Punjab/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Punjab,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,33.22,53.24,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Punjab/SC/area/MarginalvsSmall,AgCensus2015-16,T2-4,Punjab,SC,area,MarginalvsSmall,landholding,marginal operated area,small operated area,1,1,0,0,equal,c,,,,percent,SYNTHETIC,38.73,42.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Punjab/SC/area/SmallvsLarge,AgCensus2015-16,T2-4,Punjab,SC,area,SmallvsLarge,landholding,small operated area,large operated area,2,0,0,2,equal,c,,,,percent,SYNTHETIC,32.76,34.78,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Punjab/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Punjab,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,54.08,31.68,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Punjab/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Punjab,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,55.17,32.7,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Punjab/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Punjab,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,72.54,51.19,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Punjab/SC/number/MediumvsLarge,AgCensus2015-16,T2-4,Punjab,SC,number,MediumvsLarge,landholding,medium holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,83.14,57.43,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Punjab/SC/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Punjab,SC,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,59.98,30.84,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Punjab/SC/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Punjab,SC,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,77.84,49.48,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Punjab/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Punjab,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,62.54,41.94,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Punjab/SC/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Punjab,SC,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,4,0,0,4,equal,c,,,,percent,SYNTHETIC,41.79,46.06,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Punjab/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Punjab,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,32.21,44.45,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Punjab/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Punjab,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,53.63,64.91,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Punjab/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Punjab,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,20.4,38.15,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Punjab/Small/number/STvsOthers,AgCensus2015-16,T2-4,Punjab,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,53.71,67.55,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Rajasthan/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Rajasthan,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,44.99,46.93,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Rajasthan,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,24.42,38.31,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Rajasthan/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Rajasthan,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,56.61,58.87,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Rajasthan,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,33.71,51.11,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Rajasthan/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Rajasthan,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,54.36,55.11,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/All/area/MediumvsLarge,AgCensus2015-16,T2-4,Rajasthan,All,area,MediumvsLarge,landholding,medium operated area,large operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,22.26,26.65,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Rajasthan,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,49.41,31.6,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Rajasthan,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,65.85,42.76,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Rajasthan,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,49.27,35.76,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Rajasthan,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,80.33,58.14,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/All/number/MediumvsLarge,AgCensus2015-16,T2-4,Rajasthan,All,number,MediumvsLarge,landholding,medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,49.03,31.31,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Rajasthan,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,63.67,51.55,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/All/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Rajasthan,All,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,3,0,0,3,equal,c,,,,percent,SYNTHETIC,59.64,63.57,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Rajasthan,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,3,0,0,3,equal,c,,,,percent,SYNTHETIC,31.44,32.09,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/Large/number/SCvsOthers,AgCensus2015-16,T2-4,Rajasthan,Large,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,56.08,84.51,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Rajasthan/Large/number/STvsOthers,AgCensus2015-16,T2-4,Rajasthan,Large,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,38.02,48.71,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Rajasthan/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Rajasthan,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,40.93,66.76,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Rajasthan/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Rajasthan,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,39.65,67.14,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Rajasthan/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Rajasthan,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,22.87,46.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Rajasthan/SC/area/MarginalvsSmall,AgCensus2015-16,T2-4,Rajasthan,SC,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,40.52,41.22,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/SC/area/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Rajasthan,SC,area,Semi-mediumvsLarge,landholding,semi-medium operated area,large operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,36.95,38.51,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Rajasthan,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,52.02,35.24,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Rajasthan,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,55.63,27.73,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Rajasthan,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,78.85,49.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/SC/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Rajasthan,SC,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,2,0,0,2,equal,c,,,,percent,SYNTHETIC,59.36,61.41,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Rajasthan,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,66.58,47.71,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Rajasthan,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,68.44,53.83,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Rajasthan,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,1,1,0,0,equal,c,,,,percent,SYNTHETIC,58.65,60.36,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/ST/area/SmallvsMedium,AgCensus2015-16,T2-4,Rajasthan,ST,area,SmallvsMedium,landholding,small operated area,medium operated area,1,1,0,0,equal,c,,,,percent,SYNTHETIC,23.82,28.43,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/ST/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Rajasthan,ST,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,1,1,0,0,equal,c,,,,percent,SYNTHETIC,39.32,41.94,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Rajasthan,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,63.64,40.05,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Rajasthan,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,73.19,53.25,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Rajasthan,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,73.43,45.88,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Rajasthan,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,52.27,39.83,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Rajasthan,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,62.65,40.58,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Rajasthan/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Rajasthan,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,46.53,49.64,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Rajasthan,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,27.51,57.51,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Rajasthan/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Rajasthan,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,57.93,58.48,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Rajasthan,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,b,,,,percent,SYNTHETIC,36.52,49.04,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Rajasthan/Small/area/SCvsST,AgCensus2015-16,T2-4,Rajasthan,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,51.77,54.61,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Rajasthan,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,22.64,50.43,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Rajasthan/Small/number/SCvsST,AgCensus2015-16,T2-4,Rajasthan,Small,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,7,7,0,0,equal,c,,,,percent,SYNTHETIC,29.1,29.29,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Rajasthan/Small/number/STvsOthers,AgCensus2015-16,T2-4,Rajasthan,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,33.1,52.22,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Sikkim/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Sikkim,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,53.13,70.19,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Sikkim/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Sikkim,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,21.35,44.44,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Sikkim/All/area/MarginalvsMedium,AgCensus2015-16,T2-4,Sikkim,All,area,MarginalvsMedium,landholding,marginal operated area,medium operated area,4,0,0,4,equal,c,,,,percent,SYNTHETIC,35.25,35.72,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Sikkim/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Sikkim,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,24.85,27.35,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Sikkim/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Sikkim,All,area,SmallvsMedium,landholding,small operated area,medium operated area,4,0,0,4,equal,c,,,,percent,SYNTHETIC,47.83,52.04,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Sikkim/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Sikkim,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,56.44,43.15,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Sikkim/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Sikkim,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,69.69,45.25,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Sikkim/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Sikkim,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,61.71,40.29,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Sikkim/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Sikkim,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,44.89,28.21,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Sikkim/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Sikkim,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,77.91,49.51,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Sikkim/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Sikkim,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,67.69,43.0,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
